customer_id,box_type,Recipe_number,recipe,original_comment,translated_comment,rating_value,Actual Combination,loyalty,sentiment,dc,delivery_region,hellofresh_week,Value,Recipe_number,loyalty
1110740,pronto-box,4,Za'atar Roasted Carrots and Chickpeas with Yogurt-Tahini Sauce and Toasted Naan,Not a fan of this one and the carrots were NOT fresh. They had brown spots on them the day after I received my box!,Not a fan of this one and the carrots were NOT fresh. They had brown spots on them the day after I received my box!,1,'4-9-10',5,Negative,ON,All Non-BE,2019-W10,-1,4,5
1160298,pronto-box,9,"Sweet Potato Curry with Paneer, Peas and Nutty Brown Rice","Great, however  1 clove of garlic was gone bad and paneer is close to flavourless. Needs a butter seat at minimum.","Great, however  1 clove of garlic was gone bad and paneer is close to flavourless. Needs a butter seat at minimum.",3,'2-3-9',52,Negative,ON,All Non-BE,2019-W10,-1,9,52
1177887,pronto-box,3,Crispy Chicken Parmigiana with Baby Spinach and Sweet Pepper Italian Salad,Really nice dinner.  Chicken was tender and juicy.  Salad dressing was excellent!  Meat was good this week.,Really nice dinner.  Chicken was tender and juicy.  Salad dressing was excellent!  Meat was good this week.,4,'1-3-10',78,Positive,BC,All Non-BE,2019-W10,1,3,78
1264350,family-box,6,French Dip Sandwich with Baked Home Fries,"The red meat is horrible, very fatty and chewy.  We have never had a good experience with the red meat at Hello Fresh. The sauce had no flavour. ","The red meat is horrible, very fatty and chewy.  We have never had a good experience with the red meat at Hello Fresh. The sauce had no flavour. ",1,'6-7-12',45,Negative,AB,All Non-BE,2019-W10,-1,6,45
1282203,pronto-box,1,Pork and Parmesan Patties with Butternut Squash Mash and Green Beans,Delicious.  Enjoyed this - very flavorful and the green beans are fresh and green.,Delicious.  Enjoyed this - very flavorful and the green beans are fresh and green.,4,'1-2-3',59,Positive,ON,All Non-BE,2019-W10,1,1,59
1284573,pronto-box,2,Saucy Mongolian Beef with Garlicky Vegetables,Make sure the packaging of the meat does not have holes in it.  Awful mess in the fridge and meat was exposed to air and changed colour,Make sure the packaging of the meat does not have holes in it.  Awful mess in the fridge and meat was exposed to air and changed colour,1,'2-3-10',37,Negative,AB,All Non-BE,2019-W10,-1,2,37
1290462,family-box,12,Turkey Tortilla Pie with Zesty Guac and Black Beans,"Didn't love it, didn't hate it. Not sure I would make it again. Avacado that was delivered wasn't ripe- couldn't eat it. ","Didn't love it, didn't hate it. Not sure I would make it again. Avacado that was delivered wasn't ripe- couldn't eat it. ",2,'6-7-12',8,Negative,ON,All Non-BE,2019-W10,-1,12,8
1407016,pronto-box,3,Crispy Chicken Parmigiana with Baby Spinach and Sweet Pepper Italian Salad,Great recipe on repeat !  Chicken breasts were not as fresh as usual. Be careful and cook well,Great recipe on repeat !  Chicken breasts were not as fresh as usual. Be careful and cook well,4,'1-2-3-4',41,Negative,ON,All Non-BE,2019-W10,-1,3,41
1407073,pronto-box,1,Pork and Parmesan Patties with Butternut Squash Mash and Green Beans,Beans had been frozen ,Beans had been frozen ,3,'1-2-3',38,Negative,AB,All Non-BE,2019-W10,-1,1,38
1407073,pronto-box,2,Saucy Mongolian Beef with Garlicky Vegetables,Pepper had been frozen ,Pepper had been frozen ,3,'1-2-3',38,Negative,AB,All Non-BE,2019-W10,-1,2,38
1428898,pronto-box,2,Saucy Mongolian Beef with Garlicky Vegetables,Only complaint is that the broccoli had a lot of bad spots and required a lot of trimming/culling.  Beef was very good.,Only complaint is that the broccoli had a lot of bad spots and required a lot of trimming/culling.  Beef was very good.,4,'2-3-4',17,Negative,AB,All Non-BE,2019-W10,-1,2,17
1428898,pronto-box,4,Za'atar Roasted Carrots and Chickpeas with Yogurt-Tahini Sauce and Toasted Naan,Too oily!  Proportion of dressing to rest was too high.  Quality of spring greens was terrible - used 3 days after received box and had to throw away more than half.  Size of meal was insufficient as well.,Too oily!  Proportion of dressing to rest was too high.  Quality of spring greens was terrible - used 3 days after received box and had to throw away more than half.  Size of meal was insufficient as well.,1,'2-3-4',17,Negative,AB,All Non-BE,2019-W10,-1,4,17
1436919,family-box,5,Mustard and Herb-Crusted Pork with Roasted Potatoes and Broccoli,Meat so tender.  Dipping sauce very tasty.,Meat so tender.  Dipping sauce very tasty.,4,'5-7-11',7,Positive,ON,All Non-BE,2019-W10,1,5,7
1484235,family-box,6,French Dip Sandwich with Baked Home Fries,"The pieces of meat were difficult to eat in the sandwich. It would have been nice to have either a solid piece of meat I could slice thin or, better yet, have thinly sliced meat provided. Another option would be rouladen ","The pieces of meat were difficult to eat in the sandwich. It would have been nice to have either a solid piece of meat I could slice thin or, better yet, have thinly sliced meat provided. Another option would be rouladen ",3,'6-7-11',7,Negative,BC,All Non-BE,2019-W10,-1,6,7
